,Date,Followers - (change),Following - (change),Posts - (change),Influence - (change)
0,"March 28, 2021","18,044,304 - (-7,178)","3,935 - (+13)","2,178 - (+4)",0.52% - (+0.06%)
1,"March 22, 2021","18,051,482 - (-1,243)","3,922 - (+2)","2,174 - (0)",0.46% - (+0.01%)
2,"March 21, 2021","18,052,725 - (-2,425)","3,920 - (-3)","2,174 - (+2)",0.45% - (-0.02%)
3,"March 19, 2021","18,055,150 - (+211)","3,923 - (-1)","2,172 - (0)",0.47% - (+0.01%)
4,"March 19, 2021","18,054,939 - (-3,057)","3,924 - (+1)","2,172 - (+2)",0.46% - (+0.06%)
5,"March 16, 2021","18,057,996 - (-1,140)","3,923 - (+3)","2,170 - (+1)",0.40% - (-0.01%)
6,"March 15, 2021","18,059,136 - (-1,369)","3,920 - (0)","2,169 - (+1)",0.41% - (-0.06%)
7,"March 14, 2021","18,060,505 - (-2,475)","3,920 - (-1)","2,168 - (+1)",0.47% - (+0.04%)
8,"March 13, 2021","18,062,980 - (-141)","3,921 - (0)","2,167 - (0)",0.43% - (+0.07%)
9,"March 12, 2021","18,063,121 - (-1,296)","3,921 - (+3)","2,167 - (+2)",0.36% - (-0.04%)
10,"March 10, 2021","18,064,417 - (-6,651)","3,918 - (+3)","2,165 - (+4)",0.40% - (-0.05%)
11,"March 6, 2021","18,071,068 - (+2,845)","3,915 - (-2)","2,161 - (+2)",0.45% - (0.00%)
12,"March 4, 2021","18,068,223 - (+16,965)","3,917 - (+8)","2,159 - (+2)",0.45% - (-0.05%)
13,"March 2, 2021","18,051,258 - (-22,363)","3,909 - (-2)","2,157 - (+1)",0.50% - (+0.05%)
14,"February 28, 2021","18,073,621 - (-3,259)","3,911 - (+1)","2,156 - (+1)",0.45% - (+0.01%)
15,"February 27, 2021","18,076,880 - (-2,480)","3,910 - (0)","2,155 - (+1)",0.44% - (+0.02%)
16,"February 26, 2021","18,079,360 - (-1,165)","3,910 - (-1)","2,154 - (0)",0.42% - (+0.01%)
17,"February 26, 2021","18,080,525 - (+85)","3,911 - (0)","2,154 - (0)",0.41% - (0.00%)
18,"February 25, 2021","18,080,440 - (-184)","3,911 - (0)","2,154 - (+2)",0.41% - (-0.03%)
19,"February 24, 2021","18,080,624 - (-372)","3,911 - (0)","2,152 - (0)",0.44% - (0.00%)
20,"February 24, 2021","18,080,996 - (-5,110)","3,911 - (+1)","2,152 - (+1)",0.44% - (+0.06%)
21,"February 21, 2021","18,086,106 - (-158)","3,910 - (0)","2,151 - (0)",0.38% - (0.00%)
22,"February 21, 2021","18,086,264 - (-1,672)","3,910 - (-2)","2,151 - (+1)",0.38% - (+0.02%)
23,"February 20, 2021","18,087,936 - (-1,066)","3,912 - (+2)","2,150 - (0)",0.36% - (+0.01%)
24,"February 18, 2021","18,089,002 - (-7,638)","3,910 - (+10)","2,150 - (+6)",0.35% - (+0.03%)
25,"February 11, 2021","18,096,640 - (-62,664)","3,900 - (+9)","2,144 - (+16)",0.32% - (-0.29%)
26,"January 13, 2021","18,159,304 - (-1,857)","3,891 - (+2)","2,128 - (0)",0.61% - (+0.02%)
